,0
994,Arlempdes
995,Arles
996,Arles-sur-Tech
997,Arlet
998,Arleuf
999,Arleux
1000,Arleux-en-Gohelle
1001,Arlos
1002,Armaillé
1003,Armancourt
1004,Armancourt
1005,Armaucourt
1006,Armbouts-Cappel
1007,Armeau
1008,Armendarits
1009,Armentières
1010,Armentières-en-Brie
1011,Armentières-sur-Avre
1012,Armentières-sur-Ourcq
1013,Armentieux
1014,Armes
1015,Armillac
1016,Armissan
1017,Armix
1018,Armous-et-Cau
1019,Armoy
1020,Arnac
1021,Arnac-la-Poste
1022,Arnac-Pompadour
1023,Arnac-sur-Dourdou
1024,Arnage
1025,Arnancourt
1026,Arnas
1027,Arnaud-Guilhem
1028,Arnave
1029,Arnaville
1030,Arnay-le-Duc
1031,Arnay-sous-Vitteaux
1032,Arnayon
1033,Arné
1034,Arnéguy
1035,Arnèke
1036,Arnicourt
1037,Arnières-sur-Iton
1038,Arnos
1039,Arnouville
1040,Arnouville-lès-Mantes
1041,Aroffe
1042,Aromas
1043,Aron
1044,Aroue-Ithorots-Olhaïby
1045,Aroz
1046,Arpaillargues-et-Aureillac
1047,Arpajon
1048,Arpajon-sur-Cère
1049,Arpavon
1050,Arpenans
1051,Arpheuilles
1052,Arpheuilles
1053,Arpheuilles-Saint-Priest
1054,Arphy
1055,Arquenay
1056,Arques
1057,Arques
1058,Arques
1059,Arques-la-Bataille
1060,Arquettes-en-Val
1061,Arquèves
1062,Arquian
1063,Arracourt
1064,Arradon
1065,Arraincourt
1066,Arrancourt
1067,Arrancy
1068,Arrancy-sur-Crusnes
1069,Arrans
1070,Arras
1071,Arras-en-Lavedan
1072,Arras-sur-Rhône
1073,Arrast-Larrebieu
1074,Arraute-Charritte
1075,Arraye-et-Han
1076,Arrayou-Lahitte
1077,Arre
1078,Arreau
1079,Arrelles
1080,Arrembécourt
1081,Arrènes
1082,Arrens-Marsous
1083,Arrentès-de-Corcieux
1084,Arrentières
1085,Arrest
1086,Arreux
1087,Arriance
1088,Arricau-Bordes
1089,Arrien
1090,Arrien-en-Bethmale
1091,Arrigas
1092,Arrigny
1093,Arro
1094,Arrodets
1095,Arrodets-ez-Angles
1096,Arromanches-les-Bains
1097,Arronnes
1098,Arronville
1099,Arros-de-Nay
1100,Arrosès
1101,Arrouède
1102,Arrout
1103,Arry
1104,Arry
1105,Ars
1106,Ars
1107,Ars-en-Ré
1108,Ars-Laquenexy
1109,Ars-les-Favets
1110,Ars-sur-Formans
1111,Ars-sur-Moselle
1112,Arsac
1113,Arsac-en-Velay
1114,Arsague
1115,Arsans
1116,Arsonval
